exp,vignette,positions,types,i,unc,vote,vote_spa,vote_straight_A,vote_straight_B,vote_straight_cer,vote_straight_spa,vote_straight_unc,vote_unc,ut_A,ut_B,ut_B_A,ut_B_A_sq,ut_cer,ut_unc,ut_unc_cer,ut_unc_cer_sq,ut_unc_max,ut_unc_min,lr_A,lr_B,lr_cer,lr_i,lr_i_unc,lr_i_unc_cat,lr_unc,lr_unc_max,lr_unc_min,age,education,female,impact,impact_cat,ind_unc,polinterest,risk,risk_cat,satisdmo,sq,sq_unc,switch_1_2,switch_1_2_cer,switch_1_2_unc
2:risk,,new,left/right,1741,Party A,Party B,yes,no,yes,no,yes,no,no,-3,-1,2,-8,-1,-3,-2,8,,,-2,2,2,1,weder/noch,unsicher,-2,,,56,Realschule,m,gering,gering,0,mittelmäßig,Sicherheit,avers,ziemlich unzufrieden,-3,ziemlich sicher,,,
2:risk,,new,left/right,1743,Party B,Party A,yes,yes,no,no,yes,no,no,-1,-3,-2,8,-1,-3,-2,8,,,-3,1,-3,-2,sehr sicher,sicher,1,,,70,Realschule,f,sehr groß,groß,1,ziemlich stark,Sicherheit,avers,teils/ teils,3,ziemlich sicher,,,
2:risk,,new,left/right,1747,Party B,Party A,yes,no,no,no,yes,no,no,-1,-5,-4,24,-1,-5,-4,24,,,-4,2,-4,-3,ziemlich sicher,sicher,2,,,55,Realschule,f,groß,groß,1,ziemlich stark,Sicherheit,avers,ziemlich zufrieden,0,ziemlich sicher,,,
2:risk,,new,both right,1749,Party B,Party A,yes,no,no,no,no,no,no,-2,-5,-3,21,-2,-5,-3,21,,,-3,0,-3,-5,weder/noch,unsicher,0,,,50,Hochschulstudium,f,gering,gering,1,mittelmäßig,Sicherheit,avers,teils/ teils,-1,weder/noch,,,
2:risk,,new,both right,1752,Party A,Party A,yes,yes,no,no,no,no,yes,-3,-4,-1,7,-4,-3,1,-7,,,2,3,3,-1,sehr sicher,sicher,2,,,41,Abitur,f,gering,gering,2,ziemlich stark,häufig Risiken,affin,sehr unzufrieden,-2,ziemlich sicher,,,
2:risk,,new,left/right,1761,Party A,Party A,no,no,no,no,no,no,yes,-2,-1,1,-3,-1,-2,-1,3,,,-3,0,0,-1,sehr sicher,sicher,-3,,,30,Realschule,f,groß,groß,2,mittelmäßig,keine Vorlieben,neutral,ziemlich zufrieden,-1,ziemlich sicher,,,
2:risk,,new,both left,1762,Party A,Party B,yes,no,no,no,no,no,no,-4,-1,3,-15,-1,-4,-3,15,,,-4,-1,-1,0,sehr sicher,sicher,-4,,,64,Realschule,f,gering,gering,2,mittelmäßig,Sicherheit,avers,ziemlich zufrieden,-2,ziemlich sicher,,,
2:risk,,new,left/right,1764,Party A,Party A,no,yes,no,no,no,no,yes,-2,-1,1,-3,-1,-2,-1,3,,,-3,0,0,-1,weder/noch,unsicher,-3,,,41,Hauptschule,f,gering,gering,2,überhaupt nicht,Sicherheit,avers,ziemlich unzufrieden,-1,ziemlich sicher,,,
2:risk,,new,both left,1767,Party B,Party B,yes,no,yes,no,yes,yes,yes,-3,-3,0,0,-3,-3,0,0,,,-2,-2,-2,1,sehr sicher,sicher,-2,,,59,Hauptschule,m,groß,groß,3,sehr stark,Sicherheit,avers,ziemlich unzufrieden,-3,ziemlich sicher,,,
2:risk,,new,left/right,1769,Party B,Party B,no,no,no,no,no,no,yes,0,-4,-4,16,0,-4,-4,16,,,-3,1,-3,-3,ziemlich sicher,sicher,1,,,56,Hauptschule,m,groß,groß,1,mittelmäßig,manchmal Risiken,affin,teils/ teils,1,ziemlich sicher,,,
